added_by,artist,banner,buy_enabled,description,download_enabled,downloads,host,listens,rating_count,rating_score,release_date,streaming_enabled,title,tracks,views
flybeats09,Sheek Louch,exclusive,no,,yes,450,,5126,11,5,10/31/2020,yes,Gorillaween Vol 3,6,12094
Hustlehearted1,YN Jay & Louie Ray,none,yes,New mixtape from YN Jay & Louie Ray - The Scouts available now on DatPiff!,no,,,564,2,5,10/31/2020,yes,The Scouts,12,1194
flybeats09,Teejayx6,sponsored,no,,yes,56,,717,3,5,10/31/2020,yes,Spooky,10,1799
Hustlehearted1,Go Yayo,none,yes,New mixtape from Go Yayo - No Mercy available now on DatPiff!,no,,,1396,2,5,10/31/2020,yes,No Mercy,18,2893
streetkingpin,Slime Krime,exclusive,no,"Introducing, Slime Krime. Living Legend Bigga Rankin taps in to hosts the Decatur GA's latest mixtape offering ""A Year Later"". Make sure to follow the campaign.",yes,35,Bigga Rankin,355,2,5,10/31/2020,yes,A Year Later,10,1875
flybeats09,Road Run C Moe,exclusive,no,"New mixtape from Road Run C MOE ""Tales From The Road"" Hosted by DJ Holiday available now!",no,,DJ Holiday,361,1,5,10/31/2020,yes,Tales From The Road,17,1297
Hustlehearted1,Baby Tron,none,yes,New mixtape from Baby Tron - Sleeve Nash available now on DatPiff!,no,,,241,1,5,10/31/2020,yes,Sleeve Nash,13,730
Hustlehearted1,King Von,none,yes,New project from King Von - Welcome to O'Block available now on DatPiff!,no,,,20842,15,5,10/30/2020,yes,Welcome To O'block,16,35840
Hustlehearted1,Busta Rhymes,none,yes,New project from Busta Rhymes - Extinction Level Event 2: The Wrath of God available now on DatPiff!,no,,,24342,19,5,10/30/2020,yes,Extinction Level Event 2: The Wrath Of God,22,54416
Hustlehearted1,Ola Runt,none,yes,New mixtape from Ola Runt - Harder 2 Kill available now on DatPiff!,no,,,2759,4,4,10/30/2020,yes,Harder 2 Kill,15,6618
